Simulation,Winner
242,Germany
243,Netherlands
244,Netherlands
245,Germany
246,France
247,Netherlands
248,Netherlands
249,France
250,France
251,England
252,France
253,Netherlands
254,Germany
255,Netherlands
256,England
257,France
258,France
259,France
260,France
261,France
262,Netherlands
263,Germany
264,France
265,Spain
266,France
267,France
268,England
269,France
270,France
271,Spain
272,France
273,Netherlands
274,France
275,Italy
276,France
277,France
278,France
279,Croatia
280,Netherlands
281,Germany
282,England
283,Netherlands
284,France
285,France
286,France
287,France
288,France
289,Netherlands
290,Italy
291,Netherlands
292,France
293,Netherlands
294,Netherlands
295,Netherlands
296,Netherlands
297,France
298,France
299,France
300,Germany
301,Italy
302,Netherlands
303,France
304,Netherlands
305,France
306,France
307,France
308,France
309,France
310,England
311,Italy
312,France
313,Germany
314,France
315,Spain
316,France
317,Spain
318,Spain
319,England
320,France
321,France
322,Germany
323,Netherlands
324,France
325,Netherlands
326,France
327,France
328,Italy
329,France
330,Netherlands
331,Netherlands
332,Netherlands
333,Netherlands
334,France
335,France
336,Netherlands
337,Netherlands
338,Netherlands
339,Netherlands
340,Spain
341,France
342,Netherlands
343,France
344,France
345,Germany
346,Spain
347,France
348,Italy
349,France
350,England
351,Spain
352,Germany
353,Netherlands
354,France
355,Germany
356,France
357,Netherlands
358,France
359,Italy
360,France
361,Germany
362,France
363,Croatia
364,France
365,Spain
366,Netherlands
367,Netherlands
368,France
369,Netherlands
370,France
371,England
372,England
373,Germany
374,France
375,Spain
376,Netherlands
377,France
378,Netherlands
379,Spain
380,France
381,France
382,Italy
383,France
384,Netherlands
385,Netherlands
386,England
387,Netherlands
388,France
389,England
390,France
391,France
392,Germany
393,France
394,France
395,England
396,Germany
397,France
398,Germany
399,France
400,England
401,Italy
402,France
403,Netherlands
404,England
405,Netherlands
406,Croatia
407,France
408,Spain
409,Netherlands
410,Germany
411,Italy
412,England
413,France
414,Italy
415,France
416,England
417,England
418,Italy
419,Germany
420,England
421,France
422,France
423,Germany
424,France
425,Italy
426,Netherlands
427,France
428,Croatia
429,France
430,France
431,Spain
432,Netherlands
433,France
434,Netherlands
435,Germany
436,France
437,France
438,Croatia
439,England
440,Germany
441,France
442,France
443,Germany
444,Spain
445,Spain
446,Spain
447,England
448,Netherlands
449,Spain
450,France
451,France
452,France
453,Germany
454,France
455,France
456,France
457,Germany
458,Spain
459,Netherlands
460,France
461,France
462,France
463,France
464,France
465,Netherlands
466,Germany
467,Netherlands
468,Croatia
469,Netherlands
470,Netherlands
471,Netherlands
472,Spain
473,Netherlands
474,Spain
475,France
476,Netherlands
477,France
478,Germany
479,England
480,France
481,France
482,Netherlands
483,France
484,France
485,Croatia
486,France
487,England
488,Croatia
489,France
490,Spain
491,France
492,Netherlands
493,England
494,Netherlands
495,Italy
496,France
497,France
498,France
499,France
500,Netherlands
501,England
502,France
503,Netherlands
504,France
505,France
506,Netherlands
507,Netherlands
508,Germany
509,France
510,Netherlands
511,France
512,France
513,England
514,France
515,Spain
516,Spain
517,Netherlands
518,France
519,England
520,Netherlands
521,Netherlands
522,England
523,France
524,France
525,England
526,Germany
527,France
528,Netherlands
529,England
530,Germany
531,Netherlands
532,France
533,France
534,Germany
535,Croatia
536,France
537,Netherlands
538,Italy
539,France
540,Croatia
541,France
542,France
543,France
544,Netherlands
545,France
546,Italy
547,Croatia
548,Netherlands
549,France
550,Spain
551,France
552,Germany
553,France
554,Germany
555,Germany
556,France
557,France
558,Spain
559,France
560,England
561,France
562,France
563,Italy
564,France
565,France
566,France
567,France
568,France
569,Germany
570,France
571,Netherlands
572,Netherlands
573,Netherlands
574,Spain
575,Spain
576,France
577,Croatia
578,Germany
579,France
580,France
581,France
582,England
583,Netherlands
584,France
585,Italy
586,France
587,France
588,Germany
589,France
590,France
591,England
592,Croatia
593,France
594,France
595,Spain
596,Croatia
597,France
598,France
599,Germany
600,France
601,Netherlands
602,Croatia
603,Netherlands
604,Netherlands
605,France
606,France
607,Italy
608,France
609,England
610,England
611,Germany
612,Netherlands
613,France
614,Spain
615,Netherlands
616,Croatia
617,Netherlands
618,Netherlands
619,France
620,France
621,France
622,Netherlands
623,France
624,France
625,France
626,Spain
627,France
628,Spain
629,Italy
630,Spain
631,France
632,France
633,England
634,France
635,France
636,Netherlands
637,Germany
638,France
639,Germany
640,Germany
641,Netherlands
642,Croatia
643,Spain
644,England
645,Spain
646,France
647,France
648,Spain
649,Germany
650,England
651,Netherlands
652,England
653,Spain
654,Netherlands
655,England
656,Germany
657,France
658,Germany
659,France
660,England
661,France
662,Germany
663,England
664,Germany
665,France
666,Netherlands
667,Netherlands
668,Germany
669,Germany
670,Spain
671,France
672,France
673,France
674,Germany
675,Germany
676,Germany
677,Germany
678,Netherlands
679,England
680,Germany
681,Netherlands
682,France
683,England
684,Netherlands
685,France
686,France
687,Germany
688,Spain
689,France
690,Spain
691,France
692,Italy
693,Netherlands
694,England
695,Germany
696,France
697,England
698,France
699,Netherlands
700,Italy
701,France
702,Netherlands
703,France
704,France
705,France
706,England
707,France
708,Netherlands
709,France
710,Netherlands
711,France
712,France
713,France
714,France
715,England
716,France
717,Germany
718,Italy
719,England
720,Germany
721,England
722,France
723,Spain
724,France
725,France
726,Netherlands
727,Netherlands
728,France
729,England
730,France
731,Germany
732,France
733,Netherlands
734,France
735,Italy
736,Spain
737,Netherlands
738,Germany
739,France
740,France
741,Croatia
742,Germany
743,Germany
744,Germany
745,Netherlands
746,Italy
747,Netherlands
748,France
749,Germany
750,Netherlands
751,England
752,Spain
753,France
754,Netherlands
755,France
756,England
757,France
758,Croatia
759,Italy
760,Germany
761,France
762,France
763,France
764,Netherlands
765,Netherlands
766,France
767,Germany
768,England
769,France
770,France
771,Spain
772,England
773,England
774,France
775,Germany
776,Netherlands
777,France
778,Netherlands
779,France
780,France
781,France
782,England
783,Netherlands
784,France
785,Germany
786,France
787,Germany
788,Spain
789,France
790,Netherlands
791,France
792,Italy
793,France
794,Netherlands
795,England
796,France
797,France
798,France
799,France
800,France
801,Netherlands
802,Netherlands
803,Netherlands
804,Spain
805,France
806,Germany
807,France
808,Netherlands
809,Netherlands
810,Germany
811,France
812,Netherlands
813,France
814,England
815,Italy
816,Netherlands
817,France
818,France
819,England
820,Netherlands
821,France
822,Netherlands
823,France
824,Italy
825,France
826,France
827,Netherlands
828,France
829,England
830,France
831,France
832,England
833,Germany
834,France
835,England
836,France
837,Italy
838,Netherlands
839,France
840,Netherlands
841,Spain
842,France
843,Germany
844,France
845,France
846,France
847,Germany
848,France
849,France
850,Germany
851,England
852,Netherlands
853,France
854,France
855,France
856,England
857,England
858,Netherlands
859,Italy
860,France
861,Netherlands
862,Netherlands
863,France
864,France
865,France
866,Croatia
867,France
868,Netherlands
869,Netherlands
870,Germany
871,Spain
872,France
873,France
874,Netherlands
875,England
876,France
877,Netherlands
878,Netherlands
879,England
880,Spain
881,France
882,Croatia
883,Croatia
884,France
885,Netherlands
886,Germany
887,Italy
888,France
889,Germany
890,Germany
891,Netherlands
892,France
893,France
894,Netherlands
895,Netherlands
896,France
897,France
898,France
899,Germany
900,England
901,France
902,England
903,Spain
904,France
905,Netherlands
906,France
907,France
908,Germany
909,Spain
910,France
911,Germany
912,Netherlands
913,Netherlands
914,Netherlands
915,France
916,Netherlands
917,England
918,Netherlands
919,France
920,England
921,Germany
922,France
923,England
924,France
925,France
926,France
927,France
928,France
929,Germany
930,France
931,France
932,Croatia
933,Germany
934,Germany
935,Germany
936,Croatia
937,Netherlands
938,Germany
939,France
940,Croatia
941,Italy
942,Germany
943,England
944,Spain
945,England
946,Italy
947,France
948,France
949,Netherlands
950,France
951,Netherlands
952,Germany
953,Netherlands
954,France
955,Spain
956,Spain
957,France
958,France
959,Netherlands
960,Netherlands
961,France
962,Italy
963,Germany
964,France
965,France
966,England
967,Italy
968,France
969,France
970,Netherlands
971,Croatia
972,Netherlands
973,Netherlands
974,France
975,Netherlands
976,Netherlands
977,France
978,England
979,France
980,France
981,England
982,Croatia
983,France
984,Germany
985,Italy
986,England
987,Netherlands
988,France
989,France
990,Netherlands
991,Spain
992,England
993,Netherlands
994,Netherlands
995,France
996,Italy
997,Germany
998,England
999,Netherlands
