Round,Date,TeamA,TeamB,Tournament,City,Country,Neutral,IsHomeA,IsHomeB,IsMajorTournament,IsFriendly,IsEuros,Year,Recent3A,Recent3B,Recent5A,Recent5B,Recent10A,Recent10B,RecentGF10A,RecentGA10A,RecentGF10B,RecentGA10B,EloA,EloB,EloDiff,ScoreA,ScoreB,PointsA,PointsB,Simulation
4,2024-06-30,England,Czech Republic,UEFA Euro,Gelsenkirchen,Germany,1,0,0,1,0,1,2024,9,2,12,8,20,21,17,9,21,9,1968.9552327298113,1765.0328319672121,203.92240076259918,2,1,3,0,0
4,2024-06-30,Spain,Italy,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,7,4,13,8,23,18,26,10,15,10,1985.4699968483635,1922.8012899715263,62.66870687683718,2,2,1,1,0
4,2024-07-01,Netherlands,Ukraine,UEFA Euro,Düsseldorf,Germany,1,0,0,1,0,1,2024,6,6,12,9,24,20,26,6,17,10,1956.684862025823,1822.4809896123706,134.20387241345225,2,1,3,0,0
4,2024-07-01,Portugal,Serbia,UEFA Euro,Frankfurt,Germany,1,0,0,1,0,1,2024,9,4,12,7,24,14,24,11,15,12,1956.3656534059576,1802.6253292937965,153.74032411216103,1,1,1,1,0
4,2024-07-02,Belgium,Hungary,UEFA Euro,Munich,Germany,1,0,0,1,0,1,2024,9,2,15,5,24,16,20,6,17,11,1980.679768904012,1797.3730926839726,183.30667622003944,2,1,3,0,0
4,2024-07-02,France,Georgia,UEFA Euro,Leipzig,Germany,1,0,0,1,0,1,2024,9,2,13,6,23,16,32,10,23,10,2016.3277478192983,1688.5728565370391,327.7548912822592,3,1,3,0,0
5,2024-07-05,Croatia,Germany,UEFA Euro,Stuttgart,Germany,1,0,0,1,0,1,2024,6,9,10,15,23,22,18,8,16,11,1918.5078849438469,1944.8058021639217,-26.29791722007485,1,1,1,1,0
5,2024-07-05,England,Spain,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,9,7,12,11,20,21,16,9,27,12,1976.5122205502025,1982.6148930377108,-6.102672487508244,1,1,1,1,0
5,2024-07-06,Netherlands,Portugal,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,6,7,12,13,24,22,27,7,23,12,1966.7946219663727,1949.714217767457,17.08040419891563,1,1,1,1,0
5,2024-07-06,Belgium,France,UEFA Euro,Düsseldorf,Germany,1,0,0,1,0,1,2024,9,9,15,13,26,23,21,6,31,10,1988.943070741996,2020.5395936961133,-31.59652295411729,1,2,0,3,0
6,2024-07-09,Croatia,England,UEFA Euro,Munich,Germany,1,0,0,1,0,1,2024,4,7,8,13,21,18,17,9,15,10,1919.7166412654876,1976.7932301051715,-57.076588839683836,1,1,1,1,0
6,2024-07-10,Netherlands,France,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,7,9,10,15,22,23,27,8,19,11,1966.0086733529408,2035.0885181942554,-69.07984484131453,1,1,1,1,0
7,2024-07-14,England,France,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,5,7,11,13,18,23,15,10,18,10,1974.1881491282131,2031.9485421531112,-57.76039302489812,1,1,1,1,0
